SampleID,Gene,Expression
S001,Actb,11.20
S001,GAPDH,10.80
S001,MYC,5.10
S001,TP53,6.20
S001,IL6,3.10
S001,TNF,3.80
S001,EGFR,7.30
S001,VEGFA,4.90
S002,Actb,11.00
S002,GAPDH,10.90
S002,MYC,5.30
S002,TP53,6.10
S002,IL6,3.00
S002,TNF,3.90
S002,EGFR,7.10
S002,VEGFA,5.00
S003,Actb,11.40
S003,GAPDH,10.70
S003,MYC,5.00
S003,TP53,6.30
S003,IL6,3.20
S003,TNF,3.70
S003,EGFR,7.40
S003,VEGFA,4.80
S004,Actb,11.10
S004,GAPDH,10.60
S004,MYC,5.20
S004,TP53,6.00
S004,IL6,3.30
S004,TNF,3.60
S004,EGFR,7.20
S004,VEGFA,5.10
S005,Actb,11.30
S005,GAPDH,10.90
S005,MYC,5.40
S005,TP53,6.20
S005,IL6,3.10
S005,TNF,3.80
S005,EGFR,7.50
S005,VEGFA,4.90
S006,Actb,11.20
S006,GAPDH,10.80
S006,MYC,5.10
S006,TP53,6.10
S006,IL6,3.00
S006,TNF,3.90
S006,EGFR,7.30
S006,VEGFA,5.00
S007,Actb,11.00
S007,GAPDH,10.70
S007,MYC,5.30
S007,TP53,6.30
S007,IL6,3.20
S007,TNF,3.70
S007,EGFR,7.10
S007,VEGFA,4.80
S008,Actb,11.50
S008,GAPDH,10.90
S008,MYC,5.20
S008,TP53,6.20
S008,IL6,3.40
S008,TNF,3.80
S008,EGFR,7.40
S008,VEGFA,5.10
S009,Actb,11.10
S009,GAPDH,10.60
S009,MYC,5.00
S009,TP53,6.00
S009,IL6,3.10
S009,TNF,3.60
S009,EGFR,7.20
S009,VEGFA,4.90
S010,Actb,11.30
S010,GAPDH,10.80
S010,MYC,5.40
S010,TP53,6.10
S010,IL6,3.20
S010,TNF,3.70
S010,EGFR,7.30
S010,VEGFA,5.00
S011,Actb,11.10
S011,GAPDH,10.70
S011,MYC,7.80
S011,TP53,5.20
S011,IL6,5.80
S011,TNF,4.60
S011,EGFR,7.00
S011,VEGFA,6.30
S012,Actb,11.20
S012,GAPDH,10.90
S012,MYC,8.10
S012,TP53,5.00
S012,IL6,6.00
S012,TNF,4.80
S012,EGFR,6.90
S012,VEGFA,6.50
S013,Actb,11.00
S013,GAPDH,10.80
S013,MYC,7.60
S013,TP53,5.10
S013,IL6,5.70
S013,TNF,4.50
S013,EGFR,7.10
S013,VEGFA,6.20
S014,Actb,11.30
S014,GAPDH,10.70
S014,MYC,8.30
S014,TP53,4.90
S014,IL6,6.20
S014,TNF,4.90
S014,EGFR,6.80
S014,VEGFA,6.60
S015,Actb,11.10
S015,GAPDH,10.60
S015,MYC,7.90
S015,TP53,5.30
S015,IL6,5.90
S015,TNF,4.70
S015,EGFR,7.00
S015,VEGFA,6.40
S016,Actb,11.40
S016,GAPDH,10.80
S016,MYC,8.00
S016,TP53,5.10
S016,IL6,6.10
S016,TNF,4.80
S016,EGFR,6.90
S016,VEGFA,6.50
S017,Actb,11.20
S017,GAPDH,10.90
S017,MYC,7.70
S017,TP53,5.00
S017,IL6,
S017,TNF,4.60
S017,EGFR,7.10
S017,VEGFA,6.30
S018,Actb,11.10
S018,GAPDH,10.70
S018,MYC,8.20
S018,TP53,4.80
S018,IL6,6.30
S018,TNF,4.90
S018,EGFR,6.80
S018,VEGFA,6.70
S019,Actb,11.30
S019,GAPDH,10.80
S019,MYC,7.90
S019,TP53,5.20
S019,IL6,6.00
S019,TNF,4.70
S019,EGFR,7.00
S019,VEGFA,6.40
S020,Actb,11.00
S020,GAPDH,10.60
S020,MYC,8.10
S020,TP53,4.90
S020,IL6,6.20
S020,TNF,4.80
S020,EGFR,6.90
S020,VEGFA,6.60
S020,MYC,8.05
